State/UT,Type,Taxi Apps,Taxi App Links,Hotel Apps,Hotel App Links,Emergency Apps,Emergency App Links,Tourism Apps,Tourism App Links,Food Apps,Food App Links,Famous Food 1,Famous Food 2,Famous Food 3,🛍 Famous Purchases,Special Feature 1,Special Feature 2,Special Feature 3
Uttarakhand,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Uttarakhand Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Uttarakhand Police App","Uttarakhand Tourism, Incredible India, Google Maps","https://uttarakhandtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Pahadi Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Pahadi Rasoi",Aloo Ke Gutke,Kafuli,Bal Mithai,"Woolen shawls, Wooden crafts, Aipan paintings, Ringaal crafts, Local honey, Herbal products, Pashmina accessories",Kedarnath Temple,Rishikesh Ganga Aarti,Jim Corbett National Park
West Bengal,State,"Ola, Uber, Rapido","https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://www.uber.com/in/en/download/ | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, West Bengal Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: West Bengal Police App","West Bengal Tourism, Incredible India, Google Maps","https://wb.gov.in/portal/web/guest/tourism | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Bengali Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Bengali Rasoi",Rosogolla,Macher Jhol,Sandesh,"Kantha stitch textiles, Baluchari sarees, Darjeeling tea, Jute products, Clay dolls, Conch shell crafts, Bengali sweets",Howrah Bridge,Sundarbans,Victoria Memorial
Andaman and Nicobar Islands,UT,"Andaman Cabs, Rapido","Play Store Search: Andaman Cabs | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Andaman Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Andaman Police App","Andaman Tourism, Incredible India, Google Maps","https://www.andamantourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Island Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Island Flavors",Seafood Curry,Fish Fry,Coconut Prawn Curry,"Shell jewelry, Coconut crafts, Pearl ornaments, Cane furniture, Tribal handicrafts, Sea shell artifacts, Local pearls",Radhanagar Beach,Cellular Jail,Havelock Island
Chandigarh,UT,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Chandigarh Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Chandigarh Police App","Chandigarh Tourism, Incredible India, Google Maps","http://chandigarhtourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Chandigarh Rasoi","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Chandigarh Rasoi",Butter Chicken,Chole Bhature,Tandoori Paneer,"Phulkari textiles, Punjabi suits, Traditional juttis, Woolen products, Handicrafts, Local accessories, Embroidered fabrics",Rock Garden,Sukhna Lake,Rose Garden
Dadra and Nagar Haveli and Daman and Diu,UT,"Rapido, Local Taxi Services","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Local Taxi Services","OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Daman Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Daman Police App","Daman Tourism, Incredible India, Google Maps","https://www.damantourism.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Coastal Flavors","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Coastal Flavors",Seafood Curry,Parsi Cuisine,Lapsi,"Shell crafts, Bamboo products, Local textiles, Traditional handicrafts, Wooden artifacts, Coastal souvenirs, Tribal crafts",Diu Fort,Jampore Beach,Silvassa
Delhi,UT,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, Trivago, MakeMyTrip","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.makemytrip.com/hotels/","112 India, Delhi Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Delhi Police App","Delhi Tourism, Incredible India, Google Maps","http://www.delhitourism.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Delhi Street Food","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Delhi Street Food",Chole Bhature,Paratha,Butter Chicken,"Chandni Chowk textiles, Khadi products, Punjabi suits, Silver jewelry, Handicrafts, Leather goods, Traditional fabrics",Red Fort,India Gate,Qutub Minar
Jammu and Kashmir,UT,"Rapido, Uber, Ola","https://play.google.com/store/apps/details?id=com.rapido.passenger | https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, JK Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: JK Police App","J&K Tourism, Incredible India, Google Maps","https://www.jktourism.jk.gov.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Kashmiri Wazwan","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Kashmiri Wazwan",Rogan Josh,Gushtaba,Kahwa,"Pashmina shawls, Kashmiri carpets, Paper mache crafts, Saffron, Walnut wood carvings, Kashmiri jewelry, Woolen clothing",Dal Lake,Gulmarg,Vaishno Devi
Ladakh,UT,"Rapido, Ladakh Taxi Services","https://play.google.com/store/apps/details?id=com.rapido.passenger | Play Store Search: Ladakh Taxi Services","OYO, Trivago, Goibibo","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.trivago.in | https://www.goibibo.com/","112 India, Ladakh Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Ladakh Police App","Ladakh Tourism, Incredible India, Google Maps","https://www.ladakh.nic.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Ladakhi Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Ladakhi Cuisine",Thukpa,Skyu,Butter Tea,"Pashmina accessories, Tibetan artifacts, Prayer wheels, Traditional masks, Yak wool products, Thangka paintings, Wooden crafts",Pangong Lake,Magnetic Hill,Leh Palace
Lakshadweep,UT,Local Taxi Service,Play Store Search: Local Taxi Service,"OYO, Goibibo, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.goibibo.com/ | https://www.trivago.in","112 India, Lakshadweep Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Lakshadweep Police App","Lakshadweep Tourism, Incredible India, Google Maps","https://www.lakshadweeptourism.com/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, Island Cuisine","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: Island Cuisine",Fish Curry,Tuna Fry,Coconut-based Dishes,"Coconut crafts, Shell jewelry, Coir products, Traditional textiles, Local handicrafts, Coral artifacts, Island souvenirs",Agatti Island,Bangaram Atoll,Kavaratti
Puducherry,UT,"Uber, Ola, Rapido","https://www.uber.com/in/en/download/ | https://apps.apple.com/in/app/ola-book-cab-auto-bike-taxi/id539179365 | https://play.google.com/store/apps/details?id=com.rapido.passenger","OYO, MakeMyTrip, Trivago","https://play.google.com/store/apps/details?id=com.oyo.consumer | https://www.makemytrip.com/hotels/ | https://www.trivago.in","112 India, Puducherry Police App","https://play.google.com/store/apps/details?id=in.cdac.ners.psa.mobile.android.national | Play Store Search: Puducherry Police App","Puducherry Tourism, Incredible India, Google Maps","https://www.pondytourism.in/ | https://play.google.com/store/apps/details?id=org.incredibleindia | https://maps.google.com/","Zomato, Swiggy, French Cuisine Guide","https://play.google.com/store/apps/details?id=com.application.zomato | https://play.google.com/store/apps/details?id=in.swiggy.android | Play Store Search: French Cuisine Guide",French Baguette,Seafood Curry,Tandoori Dishes,"French colonial crafts, Auroville products, Handmade paper, Pottery, Leather goods, Incense sticks, Local textiles",Auroville,Promenade Beach,French Colony
